id,plate,startts,endts,endlng,endlat,my_id
EN555BNHT2QIJ,502410,7/26/18 10:20,7/26/18 10:25,-77.042771,38.898301,6658
XTVQY6RDEIF2Q,679300,7/26/18 11:50,7/26/18 11:55,-77.01173,38.896158,6659
EOYRMHD7AGKNZ,899701,7/26/18 12:00,7/26/18 12:05,-77.00347,38.887759,6660
HB54PT56AO7EI,670682,7/26/18 12:00,7/26/18 12:05,-77.020558,38.879342,6661
SCZMLZMEEJKY5,835544,7/26/18 12:00,7/26/18 12:05,-77.041646,38.88991,6662
ZNCJYS2WQHGNB,398605,7/26/18 12:00,7/26/18 12:05,-77.048609,38.892404,6663
ATMEZ7OENVLOU,529353,7/26/18 12:00,7/26/18 12:05,-76.990064,38.881232,6664
U5HMBRCSZMCH5,582345,7/26/18 12:00,7/26/18 12:05,-77.031932,38.898252,6665
EN555BNHT2QIJ,502410,7/26/18 12:00,7/26/18 12:05,-77.029711,38.897396,6666
OFKJACS5FBNX3,115552,7/26/18 12:00,7/26/18 12:05,-77.025863,38.897156,6667
SXKN5MF3QWUPN,671254,7/26/18 12:55,7/26/18 13:00,-77.074748,38.906667,6668
ZC66TYC3IGPMA,955753,7/26/18 12:55,7/26/18 13:00,-77.054296,38.912442,6669
BGKSPZIKI3PGQ,117110,7/26/18 13:05,7/26/18 13:10,-77.021801,38.886194,6670
VG7QAASJ6VQI4,651023,7/26/18 13:05,7/26/18 13:10,-77.02801,38.884365,6671
RGU7ZMFTMOKOH,363845,7/26/18 13:40,7/26/18 13:45,-77.048265,38.889829,6672
EN555BNHT2QIJ,502410,7/26/18 13:40,7/26/18 13:45,-77.040219,38.889223,6673
XPY72J5ERRJSZ,632091,7/26/18 13:55,7/26/18 14:00,-77.008638,38.952448,6674
2DC7234HOXFSX,317653,7/26/18 14:00,7/26/18 14:05,-77.013762,38.890908,6675
65N7XMUXMEE4R,421448,7/26/18 14:45,7/26/18 14:50,-76.991621,38.885994,6676
TM2M53VUQDTO5,749220,7/26/18 15:00,7/26/18 15:05,-77.007459,38.876213,6677
AA4BD2IP3IFO7,797786,7/26/18 15:35,7/26/18 15:40,-77.033419,38.891154,6678
ATMEZ7OENVLOU,529353,7/26/18 15:35,7/26/18 15:40,-77.000489,38.876172,6679
SK2FWGSCL26SV,882721,7/26/18 15:35,7/26/18 15:40,-77.019872,38.912527,6680
UGRHSOO3WYBBC,333873,7/26/18 15:35,7/26/18 15:40,-77.044179,38.898581,6681
SACC4443UH6T6,216742,7/26/18 15:55,7/26/18 16:00,-77.02056,38.908515,6682
PBUUUC3MMO7I6,379622,7/26/18 15:55,7/26/18 16:00,-77.048725,38.91171,6683
