date,time
2018-11-06,18:56:19
2018-11-06,19:04:56
2018-11-06,19:17:55.5
2018-11-06,19:26:20
2018-11-06,19:35:49
2018-11-06,19:47:28
2018-11-06,19:56:49
2018-11-06,20:02:49.5
2018-11-06,20:16:19.5
2018-11-06,20:21:19
2018-11-06,20:32:19.5
2018-11-06,20:47:19
2018-11-06,20:52:19
2018-11-07,06:20:19
2018-11-07,06:30:18.5
2018-11-07,06:40:18.5
2018-11-07,06:51:18
2018-11-07,07:01:19
2018-11-07,07:09:18.5
2018-11-07,07:16:48
2018-11-07,07:23:18
2018-11-07,07:31:18
2018-11-07,07:36:18
2018-11-07,07:43:18.5
2018-11-07,07:48:18
2018-11-07,07:54:18
2018-11-07,07:58:18.5
2018-11-07,08:02:18
2018-11-07,08:06:18
2018-11-07,08:11:18
2018-11-07,08:13:18.5
2018-11-07,08:16:18
2018-11-07,08:22:18
2018-11-07,08:26:18
2018-11-07,08:29:18.5
2018-11-07,08:31:18.5
2018-11-07,08:33:18
2018-11-07,08:39:19
2018-11-07,08:41:18.5
2018-11-07,08:46:18.5
2018-11-07,08:56:18
2018-11-07,08:58:20
2018-11-07,08:59:18.5
2018-11-07,09:01:19
2018-11-07,09:05:19
2018-11-07,09:09:19.5
2018-11-07,09:16:20
2018-11-07,09:19:19
2018-11-07,09:24:20
2018-11-07,09:29:19
2018-11-07,09:34:19
2018-11-07,09:41:49
2018-11-07,09:44:18.5
2018-11-07,09:49:19
2018-11-07,09:54:19
2018-11-07,09:59:34
2018-11-07,10:05:49
2018-11-07,10:09:19
2018-11-07,10:14:19
2018-11-07,10:19:18.5
2018-11-07,10:25:19
2018-11-07,10:32:19
2018-11-07,10:45:19
2018-11-07,10:48:19.5
2018-11-07,10:52:19
2018-11-07,11:01:19
2018-11-07,11:08:19
2018-11-07,11:13:19
2018-11-07,11:19:20.5
2018-11-07,11:24:20.5
2018-11-07,11:31:18.5
2018-11-07,11:36:18.5
2018-11-07,11:43:19
2018-11-07,11h48
2018-11-07,11:58:19.5
2018-11-07,12:00:49.5
2018-11-07,12:07:49
2018-11-07,12:15:48.5
2018-11-07,12:21:19
2018-11-07,12:24:19.5
2018-11-07,12:33:19.5
2018-11-07,12:37:49
2018-11-07,12:45:19
2018-11-07,12:55:19
2018-11-07,13:00:19
2018-11-07,13:09:19
2018-11-07,13:23:19
2018-11-07,13:23:19
2018-11-07,13:36:19.5
2018-11-07,13:38:49
2018-11-07,13:52:49.5
2018-11-07,13:53:50.5
2018-11-07,14:03:18.5
2018-11-07,14:10:19.5
2018-11-07,14:20:49
2018-11-07,14:21:48.5
2018-11-07,14:28:18.5
2018-11-07,14:35:19
2018-11-07,14:42:19
2018-11-07,14:52:19
2018-11-07,failuntil16:05:19.5
2018-11-07,16:07:49
2018-11-07,16:15:20
2018-11-07,16:18:50
2018-11-07,16h34
2018-11-07,16:45:19.5
2018-11-07,16:52:50
2018-11-07,16:53:20.5
2018-11-07,17:04:19
2018-11-07,17:15:19
2018-11-07,17:23:49
2018-11-07,17:33:20.5
2018-11-07,17:45:20.5
2018-11-07,17:55:18.5
2018-11-07,18h02
